name,bio,birth_date
"Wole Soyinka","Nijeryalı yazarı",1934-07-13
"Xanthe Clay","İngiliz yazarı",1960-01-01
"Yılmaz Güney","Türk yönetmen",1937-04-01
"Zuhal Olcay","Türk sanatçı",1957-08-10
"Ahmet Altan","Türk yazarı",1950-05-23
"Bora Abdo","Türk yazarı",1965-01-01
"Can Yayınları","Türk yayınevi",1981-01-01
"Demirtaş Ceyhun","Türk yazarı",1934-01-01
"Enis Akın","Türk yazarı",1960-01-01
"Fuat Edip Baksı","Türk yazarı",1905-01-01
"Gürsel Koçak","Türk yazarı",1955-01-01
"Haluk Şahenk","Türk iş insanı",1952-01-01
"İbrahim Bodur","Türk yazarı",1940-01-01
"Jale Önder","Türk yazarı",1958-01-01
"Kurthan Fişek","Türk yazarı",1933-12-31
"Leman Şen","Türk yazarı",1945-01-01
"Memduh Şevket Esendal","Türk yazarı",1883-08-21
"Nurullah Genç","Türk yazarı",1930-01-01
"Orhan Duru","Türk yazarı",1934-01-01
"Perihan Mağden","Türk yazarı",1960-07-07
"Qurtuluş Kayalar","Türk yazarı",1970-01-01
"Rıza Isıtan","Türk yazarı",1924-01-01
"Sait Maden","Türk yazarı",1950-01-01
"Tülay Göksun","Türk yazarı",1965-01-01
"Umay Umay","Türk yazarı",1945-01-01
"Vasfi Rıza Zobu","Türk yazarı",1896-01-01
"Widad Tamimi","Filistinli aktivist",1977-01-01
"Xenophon","Antik Yunan yazarı",-430-01-01
"Yahya Akengin","Türk yazarı",1940-01-01
"Zekeriya Beyaz","Türk yazarı",1955-01-01
"Ahmet Mithat Efendi","Osmanlı yazarı",1844-01-01
"Bekir Sıtkı Erdoğan","Türk yazarı",1926-01-01
"Celal Nuri İleri","Türk düşünür",1877-01-01
"Duygu Özkan","Türk yazarı",1975-01-01
"Emine Işınsu","Türk yazarı",1931-08-21
"Faruk Nafiz Çamlıbel","Türk şairi",1898-05-18
"Güzin Dino","Türk yazarı",1910-01-01
"Hasan İzzettin Dinamo","Türk yazarı",1909-07-23
"İrfan Orga","Türk yazarı",1908-04-25
"Jale İnan","Türk yazarı",1945-01-01
"Kerim Korcan","Türk yazarı",1958-01-01
"Leylâ Hanım","Osmanlı şairi",1850-01-01
"Mehmet Kaplan","Türk edebiyat bilimci",1915-12-26
"Nurhan Atasoy","Türk sanat tarihçisi",1934-01-01
"Osman Cemal Kaygılı","Türk yazarı",1890-12-21
"Pertev Naili Boratav","Türk halk bilimci",1907-09-02
"Qabil Şirinov","Türk yazarı",1919-01-01
"Refik Halid Karay","Türk yazarı",1888-03-17
"Seyfi Karabaş","Türk yazarı",1930-01-01
"Tevfik Gönenç","Türk yazarı",1932-01-01
"Usta Necmi","Türk yazarı",1890-01-01
"Vedat Nedim Tör","Türk yazarı",1897-01-01
"Widad Benmoussa","Faslı yazarı",1950-01-01
"Xerxes","Pers İmparatoru",-519-01-01
"Yıldırım Türker","Türk yazarı",1940-01-01
"Ziya Gökalp","Türk sosyolog",1876-03-23
"Abbas Sayar","Türk yazarı",1919-01-01
"Behiç Ak","Türk yazarı",1930-05-20
"Cemil Meriç","Türk yazarı",1916-12-19
"Doğan Kuban","Türk mimar",1926-09-06
"Ece Temelkuran","Türk yazarı",1973-10-21
"Fethullah Gülen","Türk din adamı",1941-04-27
"Galip Erdem","Türk yazarı",1935-01-01
"Hüseyin Nihal Atsız","Türk yazarı",1905-01-12
"İdris Küçükömer","Türk sosyolog",1925-01-01
"Jale Baysal","Türk kütüphaneci",1919-11-20
"Kenan Evren","Türk asker",1917-07-17
"Lütfi Arif Przić","Boşnak yazarı",1945-01-01
"Mahmut Yesari","Türk yazarı",1895-01-01
"Nahid Sırrı Örik","Türk yazarı",1894-04-30
"Oğuz Akın","Türk yazarı",1950-01-01
"Peyami Safa","Türk yazarı",1899-04-02
"Qasım Gülün","Türk yazarı",1942-01-01
"Ramazan Dikmen","Türk yazarı",1956-01-01
"Suat Derviş","Türk yazarı",1905-11-05
"Tahsin Banguoğlu","Türk dil bilimci",1904-10-25
"Uğur Mumcu","Türk gazeteci",1942-08-22
"Vasıf Kortun","Türk küratör",1958-01-01
"Walter Benjamin","Alman filozof",1892-07-15
"Xinran","Çinli yazarı",1958-01-01
"Yavuz Bülent Bakiler","Türk yazarı",1938-01-01
"Zühtü Müridoğlu","Türk yazarı",1906-01-01
"Abdullah Cevdet","Türk hekim",1869-09-09
"Bedrettin Tuncel","Türk yazarı",1910-01-01
"Cenap Şahabettin","Türk şairi",1870-06-03
"Durmuş Hocaoğlu","Türk yazarı",1940-01-01
"Eflatun Cem Güney","Türk yazarı",1923-05-14
"Feridun Fazıl Tülbentçi","Türk yazarı",1921-02-14
"Gülnar Aydın","Türk yazarı",1955-01-01
"Hümeyra","Türk şarkıcı",1947-01-01
"İsmail Habib Sevük","Türk yazarı",1891-01-01
"Jale Vehbi","Türk yazarı",1920-01-01
"Kamuran Şipal","Türk yazarı",1929-01-01
"Leman Sam","Türk oyuncu",1924-02-05
"Melâhat Özgü","Türk yazarı",1913-01-01
"Necati Cumalı","Türk yazarı",1921-01-13
"Oktay Sinanoğlu","Türk kimyager",1935-02-25
"Pars Tuğlacı","Türk yazarı",1933-01-01
"Qudret Güven","Türk yazarı",1950-01-01
"Reha Çamuroğlu","Türk yazarı",1952-01-01
"Sedad Hakkı Eldem","Türk mimar",1908-08-18
"Turan Oflazoğlu","Türk yazarı",1932-05-12
"Uğur Kömeçoğlu","Türk yazarı",1965-01-01
"Vamık D. Volkan","Türk psikiyatrist",1932-12-27
"Wolfgang Iser","Alman edebiyat kuramcısı",1926-07-22
"Xerez","İspanyol şehri",1000-01-01
"Yıldız Ecevit","Türk yazarı",1935-01-01
"Zahir Güvemli","Türk yazarı",1954-01-01
"Ahmet Ağaoğlu","Türk yazarı",1869-09-15
"Bahtiyar Vahapzade","Azerbaycan şairi",1925-08-16
"Cahide Sonku","Türk oyuncu",1919-08-30
"Demirel Serhat","Türk yazarı",1965-01-01
"Erol Toy","Türk yazarı",1936-01-01
"Falih Rıfkı Atay","Türk yazarı",1894-01-28
"Gülten Kazancı","Türk yazarı",1950-01-01
"Hıfzı Topuz","Türk yazarı",1923-01-01
"İlhan Usmanbaş","Türk besteci",1921-09-28
"Jak Deleon","Türk yazarı",1951-01-01
"Kadir İnanır","Türk oyuncu",1949-04-15
"Lütfiye Güzel","Türk yazarı",1938-01-01
"Metin And","Türk tiyatro tarihçisi",1927-05-03
"Nebahat Çehre","Türk oyuncu",1944-03-15
"Orhon Murat Arıburnu","Türk yazarı",1918-01-01
"Peyami Safa","Türk yazarı",1899-04-02
"Qürşad Ekrem Talu","Türk yazarı",1889-09-15
"Rauf Mutluay","Türk yazarı",1925-01-01
"Sevim Burak","Türk yazarı",1931-08-21
"Turgut Özal","Türk siyasetçi",1927-10-13
"Ülkü Adatepe","Türk yazarı",1930-01-01
"Vecihi Timuroğlu","Türk yazarı",1925-01-01
"Will Durant","Amerikan yazarı",1885-11-05
"Xing Lu","Çinli yazarı",1960-01-01
"Yılmaz Onay","Türk yazarı",1937-01-01
"Zeki Alasya","Türk oyuncu",1943-04-18
"Akif İnan","Türk tarihçi",1920-08-25
"Burhan Cahit Morkaya","Türk yazarı",1901-01-01
"Ceyhun Atuf Kansu","Türk şairi",1919-01-01
"Duygu Asena","Türk yazarı",1946-04-19
"Ertugrul Osman","Osmanlı hanedanı",1912-08-18
"Füsun Akatlı","Türk yazarı",1944-01-01
"Gündüz Vassaf","Türk yazarı",1948-01-01
"Hakkı Süha Gezgin","Türk yazarı",1912-01-01
"İlyas Halil","Türk yazarı",1932-01-01
"Jülide Gülizar","Türk yazarı",1918-01-01
"Kazım Taşkent","Türk yazarı",1927-01-01
"Leyla Belli","Türk yazarı",1930-01-01
"Münevver Ayaşlı","Türk yazarı",1921-01-01
"Nâzım Germen","Türk yazarı",1919-01-01
"Osman Kemal Belviranlı","Türk yazarı",1925-01-01
"Pertev Boratav","Türk halk bilimci",1907-09-02
"Qeyas Kuliyev","Azeri şairi",1924-01-01
"Rıza Nur","Türk hekim",1879-08-30
"Suphi Nuri İleri","Türk yazarı",1915-01-01
"Tarık Dursun K.","Türk yazarı",1931-01-01
"Uğur Karakullukçu","Türk yazarı",1955-01-01
"Vala Nurettin","Türk şairi",1901-01-01
"Wilfrid Thesiger","İngiliz gezgin",1910-06-03
"Xanthe Elbrick","Amerikan yazarı",1925-01-01
"Yaşar Nezihe Bükülmez","Türk yazarı",1882-01-01
"Zekeriya Sertel","Türk gazeteci",1890-07-20
"Adile Naşit","Türk oyuncu",1930-06-17
"Birhan Keskin","Türk şairi",1963-01-01
"Cevdet Kudret","Türk yazarı",1907-07-07
"Doğan Hızlan","Türk yazarı",1938-09-08
"Erol Simavi","Türk yazarı",1927-01-01
"Fatma Aliye Topuz","Türk yazarı",1862-10-09
"Gülriz Sururi","Türk oyuncu",1928-12-17
"Hasan Âli Yücel","Türk eğitimci",1897-01-20
"İnci Aral","Türk yazarı",1944-01-01
"Jülide Kural","Türk yazarı",1950-01-01
"Kemal Özer","Türk şairi",1943-01-01
"Leman Şen","Türk yazarı",1945-01-01
"Mehmet Önder","Türk yazarı",1926-01-01
"Nermin Bezmen","Türk yazarı",1925-01-01
"Orhan Burian","Türk yazarı",1914-01-01
"Pembe Hanım","Türk yazarı",1900-01-01
"Qudretullah Fatemi","Afghan yazarı",1919-01-01
"Rıza Tevfik Bölükbaşı","Türk şairi",1869-02-05
"Selma Rıza","Türk yazarı",1872-01-01
"Turan Güneş","Türk siyasetçi",1921-01-01
"Ulvi Cemal Erkin","Türk besteci",1906-03-14
"Vasfi Mahir Kocatürk","Türk yazarı",1901-01-01
"Warren Beatty","Amerikan oyuncu",1937-03-30
"Xenakis","Yunan besteci",1922-05-29
"Yahya Akengin","Türk yazarı",1940-01-01
"Zeki Müren","Türk sanatçı",1931-12-06
"Ahmet Rasim","Türk yazarı",1865-06-24
"Burhan Felek","Türk yazarı",1889-01-01
"Cevat Şakir Kabaağaçlı","Türk yazarı",1890-04-17
"Duygu Özkan","Türk yazarı",1975-01-01
"Esat Mahmut Karakurt","Türk yazarı",1906-01-01
"Feyza Hepçilingirler","Türk yazarı",1948-01-01
"Gülşen Bubikoğlu","Türk oyuncu",1954-03-01
"Hüseyin Cavid","Azeri şairi",1884-09-09
"İsmail Dümbüllü","Türk oyuncu",1900-01-01
"Jale Candan","Türk yazarı",1943-01-01
"Kemal Zeki Gençosman","Türk yazarı",1888-01-01
"Limni Yani","Türk yazarı",1897-01-01
"Muharrem Ertaş","Türk halk ozanı",1920-01-01
"Nazım Cumalı","Türk yazarı",1933-01-01
"Oktay Ekşi","Türk gazeteci",1932-04-28
"Pertev Naili Boratav","Türk halk bilimci",1907-09-02
"Qorqud Kazımov","Azeri yazarı",1958-01-01
"Refik Epikman","Türk yazarı",1902-01-01
"Safa Önal","Türk yazarı",1931-01-01
"Turgut Özakman","Türk yazarı",1927-03-21
"Ümit Kaftancıoğlu","Türk yönetmen",1935-01-01
"Vecihi Daryal","Türk yazarı",1907-01-01
"William Faulkner","Amerikan yazarı",1897-09-25
"Xerez Martinez","İspanyol yazarı",1955-01-01
"Yaşar Aksoy","Türk yazarı",1931-01-01
"Ziya Pasha","Türk şairi",1829-09-07
"Abdürrahim Karakoç","Türk şairi",1932-06-11
"Bilge Karasu","Türk yazarı",1930-02-15
"Cevat Fehmi Başkut","Türk yazarı",1905-01-01
"Duygu Asena","Türk yazarı",1946-04-19
"Ertem Eğilmez","Türk yönetmen",1929-02-18
"Füruzan","Türk yazarı",1935-05-13
"Gültekin Samanoğlu","Türk yazarı",1930-01-01
"Hüseyin Rahmi Gürpınar","Türk yazarı",1864-08-17
"İsmet İnönü","Türk siyasetçi",1884-09-24
"Jale Özgentürk","Türk yönetmen",1951-04-07
"Kemal Sunal","Türk oyuncu",1944-08-11
"Leman Sam","Türk oyuncu",1924-02-05
"Münir Özkul","Türk oyuncu",1925-08-15
"Nâzım Hikmet","Türk şairi",1902-01-15
"Osman Şahin","Türk yazarı",1940-01-01
"Peride Celal","Türk yazarı",1916-07-30
"Qasim Haddad","Bahreynli şairi",1948-01-01
"Rıza Derviş","Türk yazarı",1890-01-01
"Semiha Berksoy","Türk opera sanatçısı",1910-12-03
"Turgut Uyar","Türk şairi",1927-08-04
"Ülkü Tamer","Türk şairi",1937-04-15
"Vedat Türkali","Türk yazarı",1919-03-01
"Winston Churchill","İngiliz siyasetçi",1874-11-30
"Xosé Luis Méndez Ferrín","Galicia yazarı",1938-01-01
"Yılmaz Güney","Türk yönetmen",1937-04-01
"Zülfü Livaneli","Türk sanatçı",1946-06-20
"Agatha Christie","İngiliz yazarı",1890-09-15
"Behçet Kemal Çağlar","Türk şairi",1908-10-04
"Cemal Granda","Türk yazarı",1916-01-01
"Duygu Asena","Türk yazarı",1946-04-19
"Ercan Özkan","Türk yazarı",1960-01-01
"Falih Rıfkı Atay","Türk yazarı",1894-01-28
"Gülriz Sururi","Türk oyuncu",1928-12-17
"Hulusi Kentmen","Türk oyuncu",1912-03-10
"İhsan Raif Hanım","Türk yazarı",1870-01-01
"Jacques Lacan","Fransız psikoanalist",1901-04-13
"Kamal Abdulla","Azeri yazarı",1950-01-01
"Lütfi Akad","Türk yönetmen",1916-09-02
"Metin Erksan","Türk yönetmen",1929-09-01
"Nâzım Hikmet","Türk şairi",1902-01-15
"Oscar Wilde","İrlandalı yazarı",1854-10-16
"Pablo Neruda","Şilili şairi",1904-07-12
"Quentin Tarantino","Amerikan yönetmen",1963-03-27
"Rıfat Ilgaz","Türk yazarı",1911-06-07
"Salvador Dalí","İspanyol ressam",1904-05-11
"Tennessee Williams","Amerikan yazarı",1911-03-26
"Umberto Eco","İtalyan yazarı",1932-01-05
"Virginia Woolf","İngiliz yazarı",1882-01-25
"William Shakespeare","İngiliz yazarı",1564-04-26
"Xenophanes","Antik Yunan filozof",-570-01-01
"Yasunari Kawabata","Japon yazarı",1899-06-11
"Zygmunt Bauman","Polonyalı sosyolog",1925-11-19
"Albert Camus","Fransız yazarı",1913-11-07
"Bertolt Brecht","Alman yazarı",1898-02-10
"Charles Dickens","İngiliz yazarı",1812-02-07
"Dostoyevski","Rus yazarı",1821-11-11
"Ernest Hemingway","Amerikan yazarı",1899-07-21
"Franz Kafka","Çek yazarı",1883-07-03
"Gabriel García Márquez","Kolombiyalı yazarı",1927-03-06
"Hermann Hesse","Alman yazarı",1877-07-02
"Italo Calvino","İtalyan yazarı",1923-10-15
"Jorge Luis Borges","Arjantinli yazarı",1899-08-24
"Kurt Vonnegut","Amerikan yazarı",1922-11-11
"Leo Tolstoy","Rus yazarı",1828-09-09
"Milan Kundera","Çek yazarı",1929-04-01
"Nadine Gordimer","Güney Afrikalı yazarı",1923-11-20
"Octavio Paz","Meksikalı şairi",1914-03-31
"Philip Roth","Amerikan yazarı",1933-03-19
"Ivo Andrić","Bosnalı yazarı",1892-10-09
"Ray Bradbury","Amerikan yazarı",1920-08-22
"Salman Rushdie","İngiliz-Hint yazarı",1947-06-19
"Toni Morrison","Amerikan yazarı",1931-02-18
"Ursula K. Le Guin","Amerikan yazarı",1929-10-21
"Vladimir Nabokov","Rus-Amerikan yazarı",1899-04-23
"Wislawa Szymborska","Polonyalı şairi",1923-07-02
"Zadie Smith","İngiliz yazarı",1975-10-25
"Aleksandr Soljenitsın","Rus yazarı",1918-12-11
"Chinua Achebe","Nijeryalı yazarı",1930-11-16
"Don DeLillo","Amerikan yazarı",1936-11-20
"Eduardo Galeano","Uruguaylı yazarı",1940-09-03
"Flannery O'Connor","Amerikan yazarı",1925-03-25
"García Lorca","İspanyol şairi",1898-06-05
"Haruki Murakami","Japon yazarı",1949-01-12
"Isabel Allende","Şilili yazarı",1942-08-02
"J.D. Salinger","Amerikan yazarı",1919-01-01
"Kenzaburō Ōe","Japon yazarı",1935-01-31
"Louise Glück","Amerikan şairi",1943-04-22
"Margaret Atwood","Kanadlı yazarı",1939-11-18
"Naguib Mahfouz","Mısırlı yazarı",1911-12-11
"Orson Welles","Amerikan yönetmen",1915-05-06
"Paul Auster","Amerikan yazarı",1947-02-03
"Raymond Carver","Amerikan yazarı",1938-05-25
"Susan Sontag","Amerikan yazarı",1933-01-16
"Thomas Pynchon","Amerikan yazarı",1937-05-08
"Ursula Hegi","Alman-Amerikan yazarı",1946-05-23
"Vikram Seth","Hint yazarı",1952-06-20
"W.G. Sebald","Alman yazarı",1944-05-18
"Yann Martel","Kanadlı yazarı",1963-06-25
"Zafer Şenocak","Türk-Alman yazarı",1961-01-01
"Annie Ernaux","Fransız yazarı",1940-09-01
"Ben Okri","Nijeryalı yazarı",1959-03-15
"Cormac McCarthy","Amerikan yazarı",1933-07-20
"David Foster Wallace","Amerikan yazarı",1962-02-21
"Elif Shafak","Türk yazarı",1971-10-25
"Forough Farrokhzad","İranlı şairi",1935-01-05
"Günter Grass","Alman yazarı",1927-10-16
"Hanif Kureishi","İngiliz yazarı",1954-12-05
"Ian McEwan","İngiliz yazarı",1948-06-21
"Jamaica Kincaid","Antiguanlı yazarı",1949-05-25
"Kazuo Ishiguro","İngiliz-Japon yazarı",1954-11-08
"Louise Erdrich","Amerikan yazarı",1954-06-07
"Mohsin Hamid","Pakistanlı yazarı",1971-07-23
"Nicanor Parra","Şilili şairi",1914-09-05
"Olga Tokarczuk","Polonyalı yazarı",1962-01-29
"Peter Handke","Avusturyalı yazarı",1942-12-06
"Roberto Bolaño","Şilili yazarı",1953-04-28
"Svetlana Alexievich","Belaruslu yazarı",1948-05-31
"Teju Cole","Nijeryalı-Amerikan yazarı",1975-06-27
"Uwe Johnson","Alman yazarı",1934-07-20
"V.S. Naipaul","Trinidad yazarı",1932-08-17
"Wisława Szymborska","Polonyalı şairi",1923-07-02
"Xiaolu Guo","Çinli yazarı",1973-02-01
"Yoko Tawada","Japon-Alman yazarı",1960-03-23
"Zora Neale Hurston","Amerikan yazarı",1891-01-07
"Alice Munro","Kanadlı yazarı",1931-07-10
"Banana Yoshimoto","Japon yazarı",1964-07-24
"Carmen Laforet","İspanyol yazarı",1921-09-06
"Doris Lessing","İngiliz yazarı",1919-10-22
"Elfriede Jelinek","Avusturyalı yazarı",1946-10-20
"Fleur Jaeggy","İsviçreli yazarı",1940-07-31
"Gillian Flynn","Amerikan yazarı",1971-02-24
"Herta Müller","Alman-Rumen yazarı",1953-08-17
"Iris Murdoch","İngiliz yazarı",1919-07-15
"Joy Williams","Amerikan yazarı",1944-02-11
"Kamila Shamsie","Pakistanlı yazarı",1973-08-13
"Lydia Davis","Amerikan yazarı",1947-07-15
"Muriel Spark","İskoç yazarı",1918-02-01
"Nelly Sachs","Alman-İsveç şairi",1891-12-10
"Oyinkan Braithwaite","Nijeryalı yazarı",1988-01-01
"Patricia Highsmith","Amerikan yazarı",1921-01-19
"Rachel Cusk","İngiliz yazarı",1967-02-08
"Simone de Beauvoir","Fransız yazarı",1908-01-09
"Tove Jansson","Finli yazarı",1914-08-09
"Ursula Vernon","Amerikan yazarı",1977-05-28
"Véronique Ovaldé","Fransız yazarı",1972-01-01
"Willa Cather","Amerikan yazarı",1873-12-07
"Xue Yiwei","Çinli-Kanadalı yazarı",1957-01-01
"Yiyun Li","Çinli-Amerikan yazarı",1972-11-04
"Zahra Owens","Belçikalı yazarı",1970-01-01
"Ayn Rand","Amerikan yazarı",1905-02-02
"Bret Easton Ellis","Amerikan yazarı",1964-03-07
"Chuck Palahniuk","Amerikan yazarı",1962-02-21
"Denis Johnson","Amerikan yazarı",1949-07-01
"Elmore Leonard","Amerikan yazarı",1925-10-11
"Francisco Goldman","Amerikan yazarı",1954-09-01
"George Saunders","Amerikan yazarı",1958-12-02
"Hanya Yanagihara","Amerikan yazarı",1974-09-20
